objeto_y;nome_grupo;especificacao
Aquisição de gêneros alimentícios da agricultura familiar e do empreendedor Familiar Rural, para atendimento ao programa nacional de Alimentação escolar - PNAE;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
AQUISIÇÃO DE GÊNERO ALIMENTÍCIO PARA O FUNDO MUNICIPAL DE SAÚDE;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
REGISTRO DE PREÇOS PARA AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PERECÍVEIS E NÃO PERECÍVEIS.;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
AQUISIÇÃO DE GENEROS ALIMENTÍCIOS - CONVÊNIOS Nº 033/2019;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
Aquisição de gêneros alimentícios da Agricultura familiar e do Empreendedor Familiar Rural, destinado ao atendimento do programa Nacional de Alimentação Escolar <U+0096> PNAE;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR PARA ALIMENTAÇÃO ESCOLAR COM DISPENSA DE LICITAÇÃO SEGUNDO A LEI Nº 11.947 DE 16 DE JUNHO DE 2009 E A RESOLUÇÃO CD/FNDE Nº 26, DE 17 DE JUNHO DE 2013;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
AQUISIÇÃO DE GENEROS ALIMENTICIOS DAAGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR ZURAL DESTINADO AO ATENDIMENTO DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR/PNAE;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
Aquisição de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar - PNAE.;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA O ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR <U+0096> PNAE, DURANTE O ANO DE 2019.;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
Contratação de empresa para fornecimento de forma parcelada de Gêneros Alimentícios, para atender as necessidades das Secretarias Municipal e Prefeitura.;GÊNEROS ALIMENTÍCIOS;GÊNEROS DE ALIMENTAÇÃO AO NATURAL, BENEFICIADOS OU CONSERVADOS, TAIS COMO: AÇÚCAR, ADOÇANTE, ÁGUA MINERAL, BEBIDAS, CAFÉ, CARNES EM GERAL, CEREAIS, CHÁS, CONDIMENTOS, FRUTAS, GELO, LEGUMES, REFRIGERANTES, SUCOS, TEMPEROS, VERDURAS E AFINS.
